City ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chui,-33.6971,-53.4616,15.89,89,100,6.81,UY,1647652775
1,Hithadhoo,-0.6,73.0833,28.4,74,100,7.42,MV,1647652579
2,Richards Bay,-28.783,32.0377,18.26,85,9,1.92,ZA,1647652776
3,Ahipara,-35.1667,173.1667,20.66,77,27,2.72,NZ,1647652777
4,Punta Arenas,-53.15,-70.9167,5.62,65,0,2.06,CL,1647652551
5,Ushuaia,-54.8,-68.3,3.81,75,40,4.12,AR,1647652563
6,Danielskuil,-28.1887,23.5395,14.93,88,100,0.93,ZA,1647652780
7,Sechura,-5.5569,-80.8222,23.95,68,9,7.59,PE,1647652781
8,Hobart,-42.8794,147.3294,18.92,55,20,2.57,AU,1647652594
9,East London,-33.0153,27.9116,21.32,86,100,4.23,ZA,1647652782
10,São Félix do Xingu,-6.6447,-51.995,21.89,96,100,0.59,BR,1647652783
11,Mataura,-46.1927,168.8643,20.13,45,100,2.79,NZ,1647652784
12,New Norfolk,-42.7826,147.0587,18.73,36,6,1.07,AU,1647652553
13,Kiryat Gat,31.61,34.7642,12.44,100,25,3.1,IL,1647652785
14,Hilo,19.7297,-155.09,25.85,80,100,3.6,US,1647652578
15,Huarmey,-10.0681,-78.1522,22.21,79,3,3.6,PE,1647652787
16,Rikitea,-23.1203,-134.9692,27.01,72,22,4.58,PF,1647652566
17,Ribeira Grande,38.5167,-28.7,11.22,62,20,9.26,PT,1647652788
18,Nikolskoye,59.7035,30.7861,-0.05,93,11,1.78,RU,1647652789
19,Goderich,43.7501,-81.7165,9.95,71,100,8.75,CA,1647652790
20,Norman Wells,65.282,-126.8329,-10.98,62,75,1.03,CA,1647652791
21,Luena,-11.7833,19.9167,15.91,96,88,0.93,AO,1647652792
22,Lokosovo,61.1333,74.8167,-3.52,95,100,4.4,RU,1647652793
23,Kavieng,-2.5744,150.7967,29.99,63,12,6.15,PG,1647652794
24,Xining,36.6167,101.7667,8.55,42,68,0.37,CN,1647652790
25,Busselton,-33.65,115.3333,18.03,68,100,7.24,AU,1647652570
26,São João da Barra,-21.6403,-41.0511,25.57,82,0,7.49,BR,1647652796
27,Mar del Plata,-38.0023,-57.5575,14.37,58,20,5.81,AR,1647652797
28,Bethel,41.3712,-73.414,17.47,70,0,4.63,US,1647652798
29,Provideniya,64.3833,-173.3,-14.31,62,0,2.62,RU,1647652799
30,Puerto Ayora,-0.7393,-90.3518,26.03,78,22,2.99,EC,1647652800
31,Robertsganj,24.7,83.0667,23.7,28,100,1.57,IN,1647652801
32,Tiksi,71.6872,128.8694,-15.34,77,100,11.53,RU,1647652802
33,Dutlwe,-23.9833,23.9,17.46,77,100,1.56,BW,1647652802
34,Klaksvík,62.2266,-6.589,9.51,82,99,17.41,FO,1647652803
35,Rāwatsār,29.2833,74.3833,24.19,31,0,3.29,IN,1647652804
36,Bāfq,31.6128,55.4107,9.54,22,0,1.99,IR,1647652805
37,Jacareacanga,-6.2222,-57.7528,22.56,97,100,0.89,BR,1647652806
38,Nantucket,41.2835,-70.0995,7.06,97,100,4.12,US,1647652665
39,Tarbert,55.8628,-5.4162,6.57,90,20,3.16,GB,1647652807
40,Pāveh,35.0434,46.3565,1.5,44,100,1.79,IR,1647652808
41,Alyangula,-13.8483,136.4192,30.73,62,89,1.32,AU,1647652809
42,Swinford,53.95,-8.95,6.85,92,1,6.18,IE,1647652809
43,Bluff,-46.6,168.3333,16.88,66,47,5.17,NZ,1647652557
44,Dalvik,65.9702,-18.5286,-0.04,76,100,2.99,IS,1647652811
45,Port Alfred,-33.5906,26.891,21.21,89,100,4.16,ZA,1647652553
46,Namerikawa,36.7667,137.3333,7.96,93,75,2.06,JP,1647652813
47,Awjilah,29.1081,21.2869,14.38,46,40,8.73,LY,1647652814
48,Tasiilaq,65.6145,-37.6368,-8.91,82,44,1.52,GL,1647652814
49,Yumen,40.2833,97.2,3.63,37,100,5.55,CN,1647652815
50,Bredasdorp,-34.5322,20.0403,19.32,97,62,2.96,ZA,1647652816
51,Leeuwarden,53.2014,5.8086,4.99,88,0,3.6,NL,1647652817
52,Bambous Virieux,-20.3428,57.7575,25.12,94,20,1.03,MU,1647652817
53,Itaqui,-29.1253,-56.5531,18.92,77,65,6.56,BR,1647652818
54,Kouroussa,10.65,-9.8833,29.97,41,96,0.69,GN,1647652819
55,Tecpan,14.7623,-90.9947,12.77,90,52,1.12,GT,1647652820
56,Port Lincoln,-34.7333,135.8667,23.72,64,10,2.23,AU,1647652821
57,Batagay,67.6333,134.6333,-19.67,91,23,0.8,RU,1647652822
58,Roald,62.5833,6.1333,9.08,46,100,9.77,NO,1647652824
